date,open,min,max,close,
08/08/2012,1.238485,1.2227,1.250245,1.2372,
08/09/2012,1.23721,1.21671,1.24873,1.229295,
08/10/2012,1.2293,1.21417,1.25168,1.228975,
08/12/2012,1.229075,1.21747,1.23921,1.22747,
08/13/2012,1.227505,1.21608,1.24737,1.23262,
08/14/2012,1.23262,1.22167,1.248555,1.232385,
08/15/2012,1.232385,1.21641,1.254355,1.228865,
08/16/2012,1.22887,1.215625,1.247305,1.23573,
08/17/2012,1.23574,1.21891,1.23824,1.2333,
08/19/2012,1.23522,1.22291,1.245275,1.23323,
08/20/2012,1.233215,1.21954,1.256885,1.2351,
08/21/2012,1.23513,1.21465,1.258785,1.247655,
08/22/2012,1.247655,1.22315,1.264415,1.25338,
08/23/2012,1.25339,1.232465,1.288965,1.255995,
08/24/2012,1.255995,1.228175,1.276665,1.2512,
08/26/2012,1.25133,1.23042,1.292415,1.25054,
08/27/2012,1.25058,1.239025,1.28356,1.25012,
08/28/2012,1.250115,1.22656,1.287695,1.2571,
08/29/2012,1.25709,1.221895,1.29736,1.253065,
08/30/2012,1.253075,1.218785,1.27639,1.25097,
08/31/2012,1.25096,1.239375,1.283785,1.25795,
09/02/2012,1.257195,1.226845,1.298705,1.257355,
09/03/2012,1.25734,1.22604,1.271095,1.258635,
09/04/2012,1.25865,1.23264,1.282795,1.25339,
09/05/2012,1.2534,1.230195,1.27245,1.26005,
09/06/2012,1.26006,1.246165,1.28513,1.26309,
09/07/2012,1.26309,1.232655,1.291765,1.281625,
09/09/2012,1.28096,1.24915,1.311295,1.279565,
09/10/2012,1.27957,1.24552,1.30036,1.27617,
09/11/2012,1.27617,1.2459,1.29712,1.28515,
09/12/2012,1.28516,1.241625,1.31368,1.290235,
09/13/2012,1.227505,1.20608,1.25737,1.23262,
09/14/2012,1.24262,1.22167,1.278555,1.232385,
09/15/2012,1.252385,1.21641,1.284355,1.228865,
09/16/2012,1.24887,1.225625,1.257305,1.23573,
09/17/2012,1.24574,1.22891,1.26824,1.2333,
09/19/2012,1.24522,1.23291,1.255275,1.23323,
09/20/2012,1.233215,1.21954,1.256885,1.2351,
09/21/2012,1.22513,1.21465,1.248785,1.247655,
09/22/2012,1.227655,1.21315,1.254415,1.25338,
09/23/2012,1.22339,1.202465,1.258965,1.255995,
09/24/2012,1.215995,1.208175,1.256665,1.2512,
09/26/2012,1.22133,1.20042,1.252415,1.25054,
09/27/2012,1.22058,1.209025,1.25356,1.25012,
09/28/2012,1.230115,1.21656,1.257695,1.2571,
09/29/2012,1.24709,1.221895,1.25736,1.253065,
09/30/2012,1.233075,1.218785,1.25639,1.25097,
09/31/2012,1.24096,1.229375,1.263785,1.25795,
10/02/2012,1.257195,1.226845,1.258705,1.257355,
10/03/2012,1.25734,1.22604,1.271095,1.258635,
10/04/2012,1.25865,1.23264,1.282795,1.25339,
10/05/2012,1.2534,1.210195,1.28245,1.26005,
10/06/2012,1.26006,1.226165,1.28513,1.26309,
10/07/2012,1.26309,1.232655,1.281765,1.281625,
10/09/2012,1.28096,1.24915,1.291295,1.279565,
10/10/2012,1.29957,1.25552,1.31036,1.27617,
10/11/2012,1.30617,1.2559,1.32712,1.28515,
10/12/2012,1.28516,1.261625,1.31368,1.290235,
